gene,11-00466,11-00473,11-00476,11-00478,11-00499,11-00503,12-00016,12-00032,12-00035,12-00069,12-00071,12-00085,12-00109,12-00111,12-00116,12-00123,12-00125,12-00127,12-00145,12-00154
ALDH1L2,1,42,0,100,261,13,64,54,47,8,59,8,13,57,17,61,3,8,23,38
ALDH2,10,1553,62,7212,5806,1831,4905,9290,777,4669,14,2217,722,5835,3503,1464,2452,219,612,5768
ALDH3A1,2,1,0,14,9,11,1,2,6,21,28,5,17,1,14,20,30,0,5,25
ALDH3A2,77,442,20,2150,1293,1522,1534,2046,2007,2613,1865,983,1060,1577,1585,2628,973,179,302,278
ALDH3B1,235,2727,171,3376,5393,4065,2996,7180,3682,7178,4535,1087,4489,8186,1665,4409,15801,1919,3815,2712
ALDH3B2,0,1,0,1,10,2,1,2,4,5,2,0,1,1,5,0,7,0,3,1
ALDH4A1,57,291,27,851,1221,753,573,1056,686,1501,1110,729,706,1370,868,1074,3422,83,564,385
ALDH5A1,39,1577,13,880,432,1561,823,184,879,2287,2469,1111,1802,97,2059,1750,1391,1562,1746,1492
ALDH6A1,4,52,5,84,342,410,338,205,366,698,476,321,410,210,727,478,350,299,461,315
ALDH7A1,9,231,6,204,42,424,153,29,41,141,12,439,299,58,291,356,62,0,114,457
ALDH8A1,5,6,13,78,11,42,23,26,35,10,1,30,50,17,22,21,3,26,2,16
ALDH9A1,79,1688,28,1775,916,2549,2493,1511,2249,2482,1049,1166,1804,1811,1815,3083,760,1258,1845,1938
